id,time,res_age,res_gender,ch_ageY,ch_ageM,ch_gender,school,fa_num,sib_num,education,conduct,hyperactive,emotional,peer,prosocial,sdq_sum,ch_sh,ios_cg,ios_oth,scr_time,outside_playing,lessons,excludeT1T2,excludeT2T3
689,T1,35,2,0,8,1,inf,3,1,4,2,7,0,3,0,12,7,4,3,1.5,0.5,0,adopted,NA
691,T1,42,2,4,53,1,presch,3,1,3,2,3,1,5,2,11,6,3,1,0.571428571,2,0.214285714,adopted,NA
694,T1,28,2,0,9,1,inf,4,2,1,5,6,8,7,8,26,NA,7,1,3,0.071428571,0,adopted,NA
695,T1,28,2,0,10,2,inf,3,1,5,2,5,0,6,0,13,NA,5,2,1.071428571,0,0,adopted,NA
696,T1,35,2,0,9,2,inf,3,1,4,2,4,0,5,0,11,NA,5,1,4,0,0,adopted,NA
697,T1,39,2,0,7,2,inf,4,2,3,1,4,4,4,3,13,NA,3,1,0.75,0.107142857,0,adopted,NA
698,T1,31,2,0,7,2,inf,4,2,4,1,3,0,5,2,9,2,4,6,1,0.5,0,adopted,NA
700,T1,28,2,0,9,1,inf,3,1,4,2,5,0,4,0,11,NA,2,1,0,0.25,0,adopted,NA
1,T1,46,1,5,61,2,presch,4,1,3,1,2,0,0,9,3,1,2,1,0.571428571,0.5,0.214285714,excluded,NA
4,T1,41,2,5,63,1,presch,3,1,2,2,5,0,2,5,9,7,6,1,1.285714286,0.107142857,0.5,excluded,NA
5,T1,45,2,9,119,1,sch,4,2,3,2,2,1,0,7,5,7,5,1,2.142857143,2,0,excluded,NA
6,T1,37,1,4,56,2,presch,4,2,4,0,2,0,3,6,5,7,5,1,1.5,0,0,excluded,NA
9,T1,34,2,4,57,2,presch,4,2,4,0,3,1,3,6,7,7,7,4,2.5,2,0,excluded,NA
13,T1,44,2,9,116,1,sch,4,2,2,1,4,1,2,5,8,7,7,1,2.071428571,0.5,0,excluded,NA
15,T1,28,2,2,27,2,inf,3,1,3,0,1,1,3,4,5,,6,2,2.071428571,0.035714286,0.214285714,excluded,NA
16,T1,47,2,4,55,2,presch,3,1,3,5,9,1,2,1,17,7,7,2,0.214285714,1,0.035714286,excluded,NA
18,T1,45,2,8,100,2,sch,3,1,3,4,4,3,1,5,12,7,4,5,2.071428571,0.5,0,excluded,NA
20,T1,40,2,8,103,2,sch,4,2,3,4,4,4,6,3,18,7,7,6,5.214285714,0.107142857,0.035714286,excluded,NA
22,T1,44,1,6,73,1,sch,3,1,4,1,6,4,7,4,18,7,5,6,4.892857143,0.25,0.107142857,excluded,NA
23,T1,41,2,4,53,1,presch,4,2,3,2,5,0,2,3,9,2,3,3,0,0,0,excluded,NA
25,T1,24,2,1,16,2,inf,3,1,2,4,7,0,4,4,15,7,7,3,6.178571429,0,0,excluded,NA
28,T1,38,2,9,118,2,sch,3,2,3,2,1,0,4,8,7,7,1,1,3.857142857,1,2,excluded,NA
32,T1,30,2,0,4,2,inf,4,2,4,2,4,3,1,7,10,7,5,1,4.107142857,0.214285714,0.107142857,excluded,NA
36,T1,39,2,4,49,1,presch,3,1,3,4,8,3,4,0,19,7,5,2,1.142857143,1,0,excluded,NA
37,T1,32,2,4,56,2,presch,4,1,4,5,4,1,1,5,11,7,6,1,2.607142857,0.035714286,0,excluded,NA
38,T1,31,2,1,13,2,inf,3,1,3,2,4,1,4,1,11,,4,3,1.285714286,0.5,0.107142857,excluded,NA
39,T1,32,2,3,36,2,inf,3,1,3,1,5,3,4,10,13,7,7,2,1.071428571,0.5,0,excluded,NA
41,T1,42,2,8,97,1,sch,4,2,4,1,5,4,5,8,15,7,5,1,0.107142857,0.25,0,excluded,NA
47,T1,35,2,2,30,2,inf,3,1,3,4,3,4,7,5,18,7,6,1,0,0.5,0.035714286,excluded,NA
48,T1,36,1,3,47,2,inf,3,1,4,2,5,2,1,8,10,3,5,2,2.142857143,3,0.214285714,excluded,NA
49,T1,31,2,1,22,2,inf,3,1,3,2,0,8,2,9,12,,6,4,1.5,2,0,excluded,NA
52,T1,47,1,7,93,2,sch,4,2,4,1,5,2,3,2,11,7,2,1,0,0,0,excluded,NA
53,T1,31,2,2,28,1,inf,4,2,4,1,4,0,4,4,9,,1,1,3.821428571,1,0.035714286,excluded,NA
54,T1,40,2,5,66,2,presch,4,2,4,0,1,0,2,5,3,7,7,1,2.107142857,1,0,excluded,NA
55,T1,38,2,5,63,1,presch,4,2,4,4,5,5,2,4,16,7,5,3,1.607142857,0.214285714,0.214285714,excluded,NA
63,T1,45,2,2,32,1,inf,3,1,4,0,4,5,3,6,12,,2,4,1.285714286,0.214285714,0.5,excluded,NA
71,T1,32,2,3,42,2,inf,2,1,4,5,6,5,2,6,18,2,4,1,3.571428571,0.071428571,0.214285714,excluded,NA
74,T1,34,2,0,7,2,inf,4,2,3,3,5,0,4,0,12,,7,2,1.214285714,0.5,0,excluded,NA
77,T1,32,2,1,22,1,inf,5,3,4,3,3,4,2,8,12,7,5,2,0.678571429,5,0.5,excluded,NA
79,T1,47,1,4,49,2,presch,3,1,2,0,4,0,2,8,6,2,6,5,3.035714286,0.5,0.107142857,excluded,NA
82,T1,41,2,6,80,2,sch,5,3,2,1,6,1,2,5,10,7,6,4,2.642857143,0.214285714,0.214285714,excluded,NA
83,T1,43,2,8,104,1,sch,3,1,2,0,0,0,4,4,4,0,4,2,1.571428571,1,0.214285714,excluded,NA
87,T1,42,2,7,86,2,sch,3,1,2,0,4,6,3,6,13,1,4,1,3.571428571,0.071428571,0,excluded,NA
88,T1,48,2,6,74,2,sch,3,1,4,6,6,7,7,5,26,7,1,1,2.392857143,1,0,excluded,NA
90,T1,38,2,9,112,2,sch,3,1,4,0,1,0,1,8,2,7,7,1,2.785714286,1,0.214285714,excluded,NA
93,T1,32,2,6,82,2,sch,3,1,2,0,1,1,2,6,4,7,7,7,1.928571429,1,0.642857143,excluded,NA
94,T1,55,1,6,77,2,sch,4,2,1,1,7,0,0,9,8,7,7,2,1.75,0.214285714,2,excluded,NA
95,T1,41,2,0,10,1,inf,5,3,4,3,7,3,3,0,16,,4,3,2.392857143,0.5,0.214285714,excluded,NA
96,T1,51,1,5,66,1,presch,3,1,2,5,5,4,4,5,18,7,5,6,1,1,0,excluded,NA
97,T1,42,2,9,109,1,sch,4,2,3,3,8,1,0,9,12,7,7,1,4,0.5,0.25,excluded,NA
98,T1,33,2,2,31,2,inf,4,2,3,3,9,0,5,3,17,5,7,2,2.571428571,0.5,0.107142857,excluded,NA
100,T1,43,2,8,105,2,sch,4,2,3,1,3,0,2,2,6,7,7,5,7.5,0.5,0.214285714,excluded,NA
103,T1,45,2,8,106,2,sch,3,5,2,2,7,1,1,9,11,7,7,1,0.642857143,0.107142857,0.214285714,excluded,NA
108,T1,37,2,8,103,1,sch,4,1,4,1,3,1,0,8,5,7,6,2,0.428571429,2,0,excluded,NA
109,T1,39,2,2,25,1,inf,3,1,4,3,8,2,6,3,19,2,2,4,1.428571429,0.107142857,0,excluded,NA
111,T1,41,2,8,103,1,sch,7,3,2,3,2,2,4,3,11,7,3,2,4.107142857,1,0.5,excluded,NA
112,T1,36,2,8,107,1,sch,5,3,4,5,6,1,3,1,15,7,5,1,1.25,0.25,0.428571429,excluded,NA
113,T1,35,2,8,101,1,sch,6,2,3,7,10,3,1,3,21,7,6,1,2.5,0.5,0.214285714,excluded,NA
114,T1,36,2,6,83,1,sch,4,2,2,5,7,0,2,6,14,7,7,1,2.285714286,0.642857143,0.5,excluded,NA
117,T1,43,2,6,75,2,sch,3,1,4,2,3,7,1,4,13,3,7,4,2.714285714,0.071428571,2,excluded,NA
121,T1,36,2,7,93,1,sch,5,1,4,3,4,2,0,7,9,7,1,1,0,0,0,excluded,NA
123,T1,37,2,3,41,1,inf,6,4,3,2,3,4,4,4,13,7,1,1,3,1,0.214285714,excluded,NA
125,T1,40,2,3,40,1,inf,3,1,3,3,6,1,4,7,14,7,6,6,1.392857143,0.25,0.5,excluded,NA
129,T1,39,2,4,51,2,presch,4,3,1,2,6,1,0,6,9,7,6,1,0,1,0,excluded,NA
131,T1,30,2,3,45,1,inf,3,1,5,3,4,1,3,2,11,,7,1,6,0.5,0.5,excluded,NA
134,T1,32,2,1,20,2,inf,3,1,3,0,4,0,5,1,9,,5,1,0.714285714,0.107142857,1,excluded,NA
151,T1,45,2,2,33,1,inf,3,1,3,4,6,0,6,2,16,7,7,6,1.25,1,0,excluded,NA
152,T1,35,2,8,105,2,sch,5,2,2,0,8,6,7,7,21,7,7,1,4,1,0,excluded,NA
153,T1,51,1,7,85,1,sch,5,3,4,0,1,0,1,10,2,7,6,1,1.107142857,0.107142857,0,excluded,NA
155,T1,38,2,9,109,2,sch,4,2,3,2,2,1,4,5,9,7,6,5,0.142857143,1,0.428571429,excluded,NA
157,T1,44,2,7,95,2,sch,3,1,4,2,7,1,0,4,10,7,5,1,1.142857143,0.5,0,excluded,NA
159,T1,43,2,8,99,1,sch,6,1,3,3,5,0,1,5,9,7,6,4,1.5,1,0,excluded,NA
160,T1,36,2,3,45,1,inf,3,1,3,2,9,0,6,0,17,6,6,1,1.142857143,0.5,0,excluded,NA
163,T1,54,1,9,113,2,sch,4,2,4,5,6,0,3,4,14,7,2,1,1.107142857,0.214285714,0,excluded,NA
164,T1,45,2,4,57,2,presch,3,1,4,2,1,3,0,8,6,7,6,4,3.5,1,0.5,excluded,NA
169,T1,42,2,4,54,2,presch,3,1,2,2,5,2,3,5,12,2,2,6,5.214285714,0.428571429,0.214285714,excluded,NA
171,T1,39,2,4,53,1,presch,3,1,4,2,3,0,7,9,12,7,6,3,1.321428571,0.5,0,excluded,NA
174,T1,35,2,2,33,1,inf,4,2,2,4,5,6,2,5,17,4,6,6,1.535714286,0.5,0.214285714,excluded,NA
175,T1,41,2,7,94,1,sch,5,3,4,4,1,3,2,7,10,7,5,1,0.821428571,0.107142857,0.107142857,excluded,NA
185,T1,43,2,7,88,1,sch,3,1,3,3,9,8,1,3,21,7,4,1,6.107142857,0.214285714,0,excluded,NA
186,T1,46,2,5,68,2,presch,3,1,4,0,0,2,1,10,3,7,7,2,0,0,0,excluded,NA
188,T1,32,2,0,9,2,inf,4,2,4,3,6,2,2,3,13,7,7,1,1,0.107142857,0,excluded,NA
194,T1,36,2,3,41,2,inf,4,2,3,3,3,4,2,6,12,7,7,3,0.392857143,0.5,0,excluded,NA
195,T1,43,1,9,115,1,sch,5,3,4,1,2,0,2,6,5,7,6,2,2.142857143,0.5,0.214285714,excluded,NA
197,T1,42,2,7,94,2,sch,5,3,4,5,4,4,5,5,18,7,4,3,5.107142857,1,0,excluded,NA
199,T1,36,2,1,19,1,inf,4,2,4,4,5,0,3,7,12,7,6,1,2.428571429,1,0,excluded,NA
202,T1,32,1,1,22,2,inf,4,2,5,1,2,0,3,5,6,7,5,5,4.035714286,0.428571429,0.214285714,excluded,NA
204,T1,30,2,2,30,1,inf,4,2,2,4,6,0,5,0,15,,7,5,2.107142857,0.428571429,0.5,excluded,NA
206,T1,64,1,8,99,1,sch,3,1,4,0,1,0,3,4,4,7,7,1,1.464285714,0.5,0.214285714,excluded,NA
207,T1,49,1,4,50,1,presch,3,1,2,5,6,9,4,8,24,,7,1,0.392857143,0.214285714,1,excluded,NA
208,T1,43,2,5,71,2,presch,6,2,3,0,3,1,2,8,6,7,4,1,1.107142857,1,0.214285714,excluded,NA
210,T1,33,2,5,68,1,presch,3,1,3,4,3,1,2,5,10,7,3,2,1.071428571,0.214285714,0.214285714,excluded,NA
211,T1,34,2,3,37,2,inf,7,2,3,2,4,2,3,2,11,2,4,2,3.607142857,0.5,0,excluded,NA
215,T1,42,2,7,90,1,sch,5,3,2,7,8,2,4,5,21,7,7,2,4.392857143,0.642857143,0,excluded,NA
217,T1,31,2,0,6,1,inf,3,1,2,2,4,0,5,0,11,,7,2,1.357142857,1,0.107142857,excluded,NA
221,T1,27,2,2,32,2,inf,4,1,3,2,2,2,2,6,8,7,6,6,3.785714286,0.107142857,0.428571429,excluded,NA
222,T1,43,2,9,119,2,sch,4,2,4,0,2,0,1,9,3,7,7,1,5.571428571,0.214285714,0,excluded,NA
223,T1,39,2,3,43,1,inf,4,2,4,6,8,3,5,7,22,7,7,2,0,0,0,excluded,NA
224,T1,34,2,3,40,2,inf,4,2,2,5,6,5,5,5,21,2,2,2,1.321428571,1,0.214285714,excluded,NA
225,T1,32,2,2,26,1,inf,3,1,4,4,7,0,5,1,16,,7,2,1.392857143,0.5,1,excluded,NA
226,T1,40,2,5,67,1,presch,4,2,4,2,4,2,4,2,12,7,6,1,2.142857143,2,0,excluded,NA
228,T1,39,2,9,116,1,sch,4,2,3,0,3,2,3,6,8,7,5,2,0.678571429,0.5,0.214285714,excluded,NA
230,T1,38,2,2,34,1,inf,4,2,3,2,6,1,2,4,11,7,7,1,6,1,0,excluded,NA
232,T1,28,2,5,63,2,presch,6,2,2,1,3,7,3,10,14,3,5,2,5.25,0.5,0,excluded,NA
233,T1,29,2,5,63,2,presch,3,2,2,0,2,5,7,8,14,7,1,1,2.642857143,0.214285714,0.214285714,excluded,NA
235,T1,30,2,1,18,1,inf,4,2,3,2,4,2,3,5,11,7,2,4,0.5,1,0,excluded,NA
238,T1,40,2,4,54,1,presch,5,3,2,1,4,1,1,7,7,7,4,1,1.535714286,1,0.428571429,excluded,NA
241,T1,35,2,3,41,2,inf,3,1,3,3,6,2,5,4,16,7,7,1,2.25,0.428571429,0,excluded,NA
247,T1,47,2,8,97,1,sch,3,1,3,2,0,3,2,5,7,7,5,3,2.285714286,0.107142857,0.214285714,excluded,NA
248,T1,33,2,1,12,2,inf,3,1,2,2,6,2,4,0,14,,7,1,4.285714286,2,0,excluded,NA
254,T1,34,2,8,98,1,sch,3,1,3,4,10,2,2,5,18,2,1,1,2.107142857,0.214285714,0,excluded,NA
256,T1,51,1,7,89,1,sch,4,2,4,3,5,1,1,5,10,7,5,2,0,0,0,excluded,NA
259,T1,35,2,1,18,2,inf,3,1,4,2,6,0,4,0,12,7,1,1,2.607142857,0.5,0.214285714,excluded,NA
260,T1,41,2,3,47,1,inf,4,2,4,2,2,0,1,6,5,7,5,4,1,0.035714286,0,excluded,NA
262,T1,32,2,6,81,2,sch,3,1,3,2,5,3,3,9,13,2,3,4,2.25,1,0,excluded,NA
265,T1,37,1,0,1,2,inf,4,2,4,2,8,0,5,2,15,7,4,2,0.785714286,0.035714286,0.25,excluded,NA
266,T1,42,2,9,117,1,sch,3,1,3,6,10,4,7,0,27,7,7,1,2,2,0,excluded,NA
269,T1,44,2,9,115,1,sch,4,2,4,2,1,0,0,9,3,7,5,3,3.607142857,0.5,1,excluded,NA
270,T1,28,2,1,23,1,inf,3,1,2,2,5,3,5,0,15,,7,1,0,0,0,excluded,NA
271,T1,33,1,6,78,1,sch,3,1,4,4,7,6,6,6,23,7,5,3,1.071428571,0.642857143,0.5,excluded,NA
273,T1,41,2,2,29,2,inf,3,1,3,3,5,2,5,4,15,7,1,1,0.428571429,1,0,excluded,NA
277,T1,35,2,0,8,1,inf,5,4,4,0,3,1,0,6,4,7,6,1,0.107142857,5,0,excluded,NA
279,T1,44,1,4,58,2,presch,6,4,5,2,5,1,2,8,10,2,5,5,2.142857143,0.5,0.214285714,excluded,NA
280,T1,51,1,6,78,1,sch,4,3,2,1,2,0,0,4,3,2,7,1,2.107142857,1,0.214285714,excluded,NA
282,T1,39,2,1,17,1,inf,5,3,2,3,6,0,5,0,14,,4,1,1.5,0,0,excluded,NA
287,T1,36,1,8,98,1,sch,3,1,4,6,5,5,5,5,21,7,5,1,2.357142857,0.107142857,1,excluded,NA
289,T1,35,2,1,19,1,inf,5,3,4,2,4,0,4,2,10,1,6,6,3.285714286,0.5,0.214285714,excluded,NA
290,T1,31,2,3,43,1,inf,4,2,3,2,2,0,1,5,5,7,6,5,6.035714286,0,0.5,excluded,NA
293,T1,42,2,6,82,1,sch,6,4,2,2,5,1,2,5,10,7,7,1,0,0,0,excluded,NA
297,T1,29,2,3,40,2,inf,4,2,3,6,8,4,0,7,18,5,1,1,4,0,0,excluded,NA
299,T1,43,2,7,92,1,sch,3,2,5,1,2,2,1,7,6,7,6,1,1.535714286,0.5,0,excluded,NA
300,T1,34,1,2,25,1,inf,3,1,5,5,5,4,7,5,21,,3,3,2,1,0,excluded,NA
303,T1,39,2,9,119,2,sch,6,2,3,1,1,1,2,6,5,7,2,1,0.5,0,0,excluded,NA
305,T1,32,2,3,42,2,inf,3,1,2,1,5,5,3,8,14,2,6,4,0.642857143,0.5,0,excluded,NA
306,T1,33,2,5,66,2,presch,3,1,4,3,4,0,0,6,7,7,7,2,3.107142857,0.214285714,0,excluded,NA
311,T1,30,2,3,41,1,inf,3,1,3,2,5,5,3,7,15,7,7,1,5.607142857,0.107142857,0,excluded,NA
313,T1,47,2,5,66,1,presch,4,2,2,2,4,0,3,4,9,,6,2,1.607142857,0,0,excluded,NA
314,T1,37,1,3,45,1,inf,4,2,5,5,3,2,3,5,13,7,4,3,2.107142857,0.5,0.214285714,excluded,NA
315,T1,27,2,0,6,2,inf,5,3,4,3,3,2,3,7,11,7,5,1,3.107142857,0,0,excluded,NA
317,T1,44,2,7,87,1,sch,4,2,3,0,4,2,1,6,7,7,6,1,0.321428571,1,1,excluded,NA
320,T1,31,2,4,52,2,presch,8,2,4,1,3,0,1,6,5,7,7,2,0.928571429,0.5,0,excluded,NA
321,T1,30,2,3,47,2,inf,3,1,3,5,5,6,5,5,21,2,2,6,1.571428571,1,0.107142857,excluded,NA
329,T1,41,2,9,117,1,sch,3,1,3,3,6,5,2,6,16,7,6,3,3,0.5,0,excluded,NA
331,T1,41,2,5,70,1,presch,4,1,4,2,7,3,5,5,17,7,5,1,4.107142857,0,0,excluded,NA
333,T1,32,2,1,17,1,inf,3,1,4,3,5,0,5,0,13,7,4,3,0.178571429,0.107142857,1,excluded,NA
335,T1,37,2,4,56,2,presch,5,3,2,2,4,6,1,8,13,2,7,7,1.535714286,0.107142857,0,excluded,NA
336,T1,36,1,3,43,2,inf,3,1,4,2,3,3,2,4,10,7,5,1,0.142857143,0.107142857,1,excluded,NA
341,T1,32,2,6,79,2,sch,2,1,2,0,2,0,1,5,3,2,4,2,4.75,0.5,0,excluded,NA
342,T1,45,2,8,98,2,sch,7,5,3,1,3,0,2,5,6,7,3,1,3.964285714,0.107142857,0,excluded,NA
344,T1,26,2,1,14,1,inf,3,1,4,4,10,0,4,0,18,,6,1,3.25,0.107142857,0.214285714,excluded,NA
346,T1,33,2,5,64,1,presch,3,1,2,3,7,6,3,5,19,7,7,1,0.607142857,0.428571429,0,excluded,NA
352,T1,40,2,4,55,1,presch,4,2,4,1,4,0,3,2,8,7,1,1,2.535714286,2,0.107142857,excluded,NA
356,T1,42,1,5,69,1,presch,4,1,2,5,6,5,6,7,22,0,1,5,6.607142857,0.642857143,2,excluded,NA
357,T1,41,1,6,77,1,sch,5,3,4,5,4,7,7,10,23,7,5,2,0,0,0,excluded,NA
363,T1,43,1,1,18,1,inf,3,1,5,1,2,0,4,5,7,3,6,2,0,0,0,excluded,NA
367,T1,39,2,0,10,2,inf,4,2,5,1,0,2,2,8,5,7,1,1,1.642857143,0.214285714,0,excluded,NA
368,T1,37,2,7,93,2,sch,3,1,2,1,2,2,2,9,7,7,6,6,0.357142857,3,0.107142857,excluded,NA
371,T1,44,1,8,104,1,sch,4,2,3,3,4,3,1,6,11,7,3,1,1.25,0.214285714,0,excluded,NA
373,T1,32,1,3,43,2,inf,3,1,2,2,4,3,2,2,11,3,5,5,4.107142857,0.5,0,excluded,NA
