id,time,res_age,res_gender,ch_ageY,ch_ageM,ch_gender,school,fa_num,sib_num,education,conduct,hyperactive,emotional,peer,prosocial,sdq_sum,ch_sh,ios_cg,ios_oth,scr_time,outside_playing,lessons,excludeT1T2,excludeT2T3
442,T1,42,2,7,88,1,sch,4,3,3,3,2,0,2,8,7,7,5,1,2.107142857,0.5,0.214285714,excluded,NA
443,T1,41,2,3,41,2,inf,5,2,3,3,5,1,1,8,10,2,6,6,2.607142857,1,0,excluded,NA
445,T1,39,2,0,3,2,inf,4,1,4,2,5,0,4,0,11,,6,3,3.535714286,0.5,0,excluded,NA
446,T1,32,1,5,65,2,presch,3,1,2,6,8,8,4,7,26,7,2,1,2.321428571,0.214285714,0,excluded,NA
450,T1,44,1,7,93,1,sch,4,2,4,0,3,0,2,5,5,7,6,1,2.25,1,0,excluded,NA
451,T1,43,2,7,91,1,sch,3,2,2,7,4,3,2,5,16,7,6,1,0,2,0,excluded,NA
453,T1,45,2,4,56,1,presch,4,2,4,1,4,0,2,9,7,7,1,1,1.107142857,0.5,0.5,excluded,NA
457,T1,33,2,3,44,1,inf,3,1,4,0,2,2,1,9,5,7,4,3,2,1,0.214285714,excluded,NA
460,T1,39,1,7,89,2,sch,4,2,4,0,2,3,2,10,7,7,6,3,6.571428571,0.035714286,0.428571429,excluded,NA
463,T1,32,1,5,68,2,presch,4,2,4,2,5,3,2,4,12,2,6,3,0,0,0,excluded,NA
469,T1,43,1,8,96,1,sch,6,4,3,2,4,0,0,3,6,7,7,2,2.107142857,0.5,0,excluded,NA
471,T1,29,2,0,10,1,inf,6,1,1,2,6,0,5,0,13,,6,4,1.321428571,0.5,0,excluded,NA
472,T1,36,2,7,92,2,sch,4,2,3,1,7,2,1,5,11,7,4,1,2.571428571,0.107142857,0,excluded,NA
473,T1,30,2,1,12,2,inf,4,2,4,6,2,6,2,7,16,2,2,2,1.75,0.5,0,excluded,NA
477,T1,22,2,1,15,2,inf,4,2,2,2,6,1,3,5,12,,2,3,0.785714286,0.107142857,0.214285714,excluded,NA
478,T1,27,2,2,25,2,inf,3,1,4,2,7,2,5,4,16,7,1,1,1.357142857,0.428571429,0,excluded,NA
481,T1,44,1,9,111,1,sch,3,1,4,3,4,1,4,3,12,7,6,6,1.75,0.107142857,0.428571429,excluded,NA
484,T1,36,2,2,33,1,inf,5,1,4,2,4,2,4,2,12,,7,2,3.142857143,0.214285714,0.214285714,excluded,NA
485,T1,38,2,6,77,1,sch,3,1,3,4,6,5,5,5,20,3,1,2,1.678571429,1,0.214285714,excluded,NA
490,T1,43,2,8,104,1,sch,4,2,2,4,8,2,1,5,15,7,4,1,0.428571429,2,0.214285714,excluded,NA
491,T1,37,2,3,37,1,inf,4,2,4,5,5,6,1,9,17,2,5,2,6.107142857,2,0.857142857,excluded,NA
493,T1,34,2,0,5,2,inf,5,3,2,5,7,3,0,6,15,7,7,5,1.107142857,0.5,0,excluded,NA
494,T1,33,2,0,4,2,inf,3,1,3,4,4,3,5,4,16,,2,2,2.25,2,0,excluded,NA
497,T1,37,2,9,112,1,sch,2,1,2,0,5,4,3,5,12,7,6,2,0.5,0.5,0,excluded,NA
499,T1,38,2,2,25,2,inf,3,1,3,3,5,1,1,9,10,7,7,6,0.071428571,0.035714286,0,excluded,NA
500,T1,43,2,9,114,1,sch,3,1,4,3,3,2,2,5,10,7,6,1,1.357142857,0.035714286,0.214285714,excluded,NA
503,T1,38,2,3,40,1,inf,6,2,2,2,4,6,5,9,17,7,7,2,0,0,0,excluded,NA
512,T1,33,2,9,109,2,sch,3,1,4,0,3,4,2,8,9,7,7,4,7.142857143,1,0,excluded,NA
513,T1,37,2,4,58,2,presch,3,1,4,3,5,0,1,5,9,7,7,1,1.535714286,1,0,excluded,NA
520,T1,37,2,2,34,2,inf,3,1,4,3,5,1,3,5,12,2,2,1,1.642857143,2,0.214285714,excluded,NA
521,T1,27,2,1,14,2,inf,3,1,2,3,7,0,6,0,16,,6,1,1.214285714,0.5,0.214285714,excluded,NA
524,T1,34,2,0,10,2,inf,4,2,4,4,4,6,5,5,19,2,6,1,3.035714286,2,0.214285714,excluded,NA
528,T1,37,2,7,86,1,sch,4,2,2,4,5,3,3,7,15,7,7,4,1.142857143,0.071428571,0.214285714,excluded,NA
529,T1,30,2,6,78,2,sch,3,1,4,2,7,2,1,6,12,7,7,4,1.107142857,0.5,0.107142857,excluded,NA
530,T1,28,2,2,29,2,inf,6,4,3,5,6,1,1,0,13,7,7,1,4.428571429,0.5,0,excluded,NA
532,T1,38,2,6,80,2,sch,6,4,2,0,1,2,3,6,6,7,2,1,0,0,0,excluded,NA
540,T1,38,2,8,96,2,sch,4,2,3,1,4,0,0,6,5,7,6,3,4.464285714,0.5,0.214285714,excluded,NA
542,T1,46,2,7,93,1,sch,5,3,2,3,0,0,0,10,3,7,7,4,2.928571429,0,0.107142857,excluded,NA
546,T1,39,2,6,73,1,presch,4,1,4,2,5,3,2,8,12,7,7,1,2.107142857,0.035714286,0.428571429,excluded,NA
550,T1,45,2,7,94,2,sch,5,3,3,0,0,0,1,8,1,7,7,1,1.214285714,0.5,0,excluded,NA
551,T1,42,1,4,53,1,presch,4,2,4,3,3,3,6,4,15,7,5,5,3.5,0,0,excluded,NA
556,T1,32,2,1,22,1,inf,3,1,3,3,6,0,2,5,11,,7,6,1.178571429,0.428571429,0.5,excluded,NA
563,T1,27,2,0,5,2,inf,3,1,5,2,5,0,4,0,11,,4,1,1.071428571,0.214285714,0.214285714,excluded,NA
564,T1,43,2,9,115,2,sch,4,2,4,3,3,2,5,4,13,7,3,3,1.035714286,0.035714286,0.107142857,excluded,NA
566,T1,45,2,7,89,2,sch,4,2,4,5,5,1,3,5,14,7,7,1,12.14285714,0.071428571,0.214285714,excluded,NA
569,T1,35,2,1,23,1,inf,4,2,4,4,6,5,3,4,18,7,3,1,8.035714286,0.035714286,0.5,excluded,NA
570,T1,24,2,2,28,2,inf,3,1,2,4,7,0,5,1,16,,1,1,3.571428571,2,0.214285714,excluded,NA
571,T1,44,2,6,82,2,presch,4,2,4,3,4,3,1,5,11,7,3,2,4.071428571,0,0,excluded,NA
572,T1,40,2,6,82,1,sch,3,1,3,5,7,5,3,8,20,5,4,3,6.107142857,2,0.214285714,excluded,NA
574,T1,43,2,7,95,1,sch,7,3,4,4,2,0,1,9,7,7,2,2,0,0.071428571,0,excluded,NA
579,T1,35,2,6,77,1,sch,5,3,3,2,3,1,1,7,7,7,7,5,5,1,0.5,excluded,NA
581,T1,43,2,7,92,1,sch,4,2,3,4,5,4,2,4,15,7,5,2,6.107142857,0.035714286,0,excluded,NA
582,T1,41,2,8,107,2,sch,4,2,3,2,1,1,2,10,6,2,6,3,0.642857143,1,0.107142857,excluded,NA
583,T1,43,2,6,83,2,sch,3,1,4,3,1,6,6,10,16,7,4,2,4.035714286,0.428571429,0.5,excluded,NA
584,T1,40,2,4,54,2,presch,4,3,3,1,2,0,2,7,5,7,7,1,3.571428571,0.107142857,0,excluded,NA
585,T1,30,2,2,34,1,inf,3,1,4,1,4,2,1,6,8,,7,6,1.142857143,1,0.5,excluded,NA
586,T1,28,2,0,6,2,inf,3,1,3,2,5,0,4,0,11,,4,2,4.678571429,0.428571429,0.5,excluded,NA
587,T1,37,2,6,80,1,sch,4,1,5,2,6,0,5,5,13,7,6,1,4.5,0.071428571,0,excluded,NA
590,T1,38,2,1,20,1,inf,4,1,2,3,4,0,4,0,11,,7,2,2.5,0.428571429,0,excluded,NA
591,T1,32,2,1,16,1,inf,3,1,4,1,3,1,6,4,11,7,3,1,2.214285714,2,0.214285714,excluded,NA
600,T1,43,2,3,45,1,inf,4,2,4,2,2,0,2,4,6,2,3,3,3.214285714,2,0.214285714,excluded,NA
601,T1,39,2,3,40,2,inf,3,1,3,2,1,2,3,10,8,7,7,1,1.535714286,0.642857143,0.214285714,excluded,NA
604,T1,46,2,2,31,2,inf,3,1,3,4,7,2,3,4,16,7,1,1,0.821428571,0.035714286,0,excluded,NA
605,T1,39,1,0,1,1,inf,4,2,5,4,8,8,7,0,27,7,6,1,0.75,0.25,0,excluded,NA
606,T1,43,1,8,96,1,sch,7,3,2,2,3,0,2,6,7,7,5,3,0.714285714,1,0.5,excluded,NA
607,T1,26,2,4,49,2,presch,3,1,4,5,3,3,3,5,14,7,5,2,0.25,0.071428571,0,excluded,NA
609,T1,38,2,5,64,1,presch,5,5,1,8,2,4,5,7,19,7,7,2,1.571428571,2,0,excluded,NA
611,T1,32,2,4,52,1,presch,4,2,3,2,5,3,3,4,13,7,7,1,0.464285714,0.035714286,0,excluded,NA
612,T1,25,2,0,7,2,inf,3,1,1,2,7,0,3,0,12,6,5,4,0.535714286,1,0.214285714,excluded,NA
614,T1,40,2,4,53,1,presch,6,4,4,2,2,3,4,8,11,7,6,1,4,0.107142857,0,excluded,NA
615,T1,43,2,4,55,1,presch,5,2,3,3,5,3,3,5,14,7,4,1,6.071428571,0.214285714,0.5,excluded,NA
617,T1,27,2,3,40,2,inf,2,1,4,2,3,2,2,6,9,0,4,1,5.142857143,1,1,excluded,NA
619,T1,39,2,4,52,1,presch,4,2,4,1,2,1,1,5,5,7,7,1,6.142857143,0.035714286,0,excluded,NA
625,T1,34,2,7,88,1,sch,5,3,2,3,2,2,1,4,8,7,4,1,2.071428571,1,0.107142857,excluded,NA
626,T1,36,1,3,40,2,inf,4,2,5,2,4,1,4,0,11,7,4,5,2.107142857,0.5,0,excluded,NA
627,T1,39,2,5,63,1,presch,4,2,4,1,4,2,4,4,11,7,5,1,5.5,0.5,0,excluded,NA
628,T1,33,2,0,1,1,inf,4,2,3,5,8,1,0,10,14,7,1,1,4,2,0,excluded,NA
630,T1,40,2,0,5,1,inf,6,4,3,4,7,2,2,3,15,7,1,1,4.071428571,0.5,0,excluded,NA
631,T1,46,2,9,118,1,sch,6,3,2,0,1,6,8,0,15,7,3,1,5,0.035714286,0,excluded,NA
634,T1,35,2,5,71,2,presch,5,1,4,1,2,1,2,6,6,7,5,1,2.714285714,0.035714286,0.214285714,excluded,NA
636,T1,42,2,4,51,2,presch,5,2,3,4,3,0,3,6,10,7,3,3,0.75,0.25,0,excluded,NA
637,T1,41,1,3,40,1,inf,4,2,5,2,2,1,2,3,7,7,7,4,2.535714286,1,0,excluded,NA
640,T1,26,2,1,18,1,inf,3,1,3,5,6,1,2,2,14,7,6,2,3.428571429,1,0,excluded,NA
641,T1,26,2,1,16,2,inf,3,1,3,2,4,1,4,0,11,7,7,1,1.5,3,0.5,excluded,NA
642,T1,32,2,0,5,2,inf,4,2,4,2,7,4,0,10,13,7,7,2,3.571428571,0.5,0,excluded,NA
644,T1,33,2,5,61,1,presch,6,2,4,3,10,5,9,0,27,2,3,2,19,2,3,excluded,NA
649,T1,27,2,0,9,1,inf,3,1,4,2,4,0,5,0,11,7,4,2,4.142857143,1,0.5,excluded,NA
650,T1,41,2,2,28,1,inf,6,2,2,2,2,1,1,8,6,7,7,2,0.357142857,0.5,0,excluded,NA
652,T1,31,2,5,68,2,presch,4,2,2,2,3,5,1,5,11,7,5,2,1.178571429,0.214285714,0.107142857,excluded,NA
657,T1,43,2,8,106,1,sch,3,1,2,5,7,2,2,6,16,7,7,2,1.214285714,0.107142857,0,excluded,NA
659,T1,40,2,8,101,2,sch,4,2,4,1,4,1,0,10,6,7,4,4,5.928571429,0.5,0.107142857,excluded,NA
665,T1,30,2,5,64,2,presch,3,1,3,3,4,7,4,7,18,7,7,1,6.571428571,0.428571429,0,excluded,NA
667,T1,29,2,2,28,1,inf,3,1,3,2,4,4,1,7,11,7,7,1,1.5,0.5,0,excluded,NA
670,T1,47,2,8,99,1,sch,5,3,3,2,3,1,3,3,9,7,1,1,1,0.5,1,excluded,NA
672,T1,35,2,2,28,2,inf,3,1,4,0,3,0,3,3,6,7,6,1,0,2,0.214285714,excluded,NA
677,T1,35,2,1,21,2,inf,4,2,4,6,8,0,6,0,20,7,6,1,2.642857143,0.214285714,0.5,excluded,NA
682,T1,36,2,4,57,1,presch,6,4,2,1,3,1,3,4,8,7,7,1,1,1,0.035714286,excluded,NA
685,T1,34,2,4,58,1,presch,5,3,3,4,6,3,2,7,15,7,5,2,3.107142857,0.214285714,0,excluded,NA
686,T1,21,2,0,5,1,inf,3,1,2,2,4,0,5,0,11,,4,3,3.071428571,0.5,0,excluded,NA
687,T1,42,2,4,57,1,presch,3,1,4,3,2,1,2,1,8,7,7,2,1.5,1,0,excluded,NA
690,T1,34,2,0,2,1,inf,4,2,2,1,5,2,2,5,10,,6,1,1.428571429,0.5,0,excluded,NA
692,T1,35,2,0,5,1,inf,4,2,3,2,5,4,2,6,13,7,6,5,2.071428571,0.214285714,0,excluded,NA
693,T1,31,2,0,7,1,inf,4,2,4,1,3,2,1,3,7,7,7,1,1.214285714,1,0,excluded,NA
699,T1,33,2,0,9,1,inf,3,1,4,4,9,6,6,0,25,7,6,1,1.285714286,2,0.214285714,excluded,NA
2,T2,34,2,1,13,1,inf,4,2,3,3,6,5,1,7,15,2,4,4,3.214285714,0.5,0.214285714,NA,excluded
3,T2,31,2,2,28,1,inf,7,2,4,4,8,2,1,8,15,NA,3,2,4.107142857,0.107142857,0,NA,excluded
7,T2,41,2,1,17,2,inf,3,1,4,2,5,3,5,3,15,2,7,3,1,0.5,0,NA,excluded
8,T2,48,2,8,103,2,sch,4,2,4,2,4,0,2,2,8,2,4,3,0.535714286,0.5,0.214285714,NA,adopted
10,T2,38,2,6,81,1,sch,4,2,2,3,4,2,3,7,12,2,4,3,4,0.214285714,0.214285714,NA,adopted
11,T2,34,2,4,57,1,presch,4,2,2,0,2,0,2,9,4,2,6,2,3.214285714,0.107142857,0,NA,adopted
12,T2,37,2,6,76,1,sch,4,2,2,7,5,5,5,5,22,2,7,2,2.178571429,0.5,0,NA,adopted
14,T2,46,2,9,118,1,sch,3,1,4,0,3,6,6,9,15,2,5,3,5.642857143,0.214285714,0.214285714,NA,excluded
17,T2,40,2,3,46,1,inf,5,3,4,0,2,1,0,6,3,2,4,3,6.5,2,0,NA,excluded
19,T2,41,1,9,116,1,sch,4,2,2,2,3,0,2,7,7,2,5,3,7.285714286,0.25,0.107142857,NA,excluded
21,T2,35,2,6,73,2,sch,4,2,4,0,2,3,0,8,5,2,2,2,0.785714286,2,0.214285714,NA,adopted
24,T2,47,1,8,107,1,sch,4,2,5,4,8,3,7,5,22,2,5,1,5.607142857,0,0.107142857,NA,adopted
26,T2,35,2,3,39,2,inf,3,1,2,2,1,4,0,6,7,2,7,4,1.464285715,1,0,NA,excluded
27,T2,34,2,7,88,2,sch,4,2,3,1,3,5,3,4,12,2,3,3,2.035714286,0.428571429,0.214285714,NA,adopted
29,T2,42,1,6,77,1,presch,4,2,4,8,7,9,6,8,30,5,1,1,1,1,0.214285714,NA,adopted
30,T2,37,2,6,73,2,sch,3,1,5,0,0,0,2,10,2,2,4,3,1.035714286,0.214285714,1,NA,adopted
31,T2,33,2,2,35,2,inf,4,2,4,1,1,0,3,5,5,NA,3,1,1.5,0.5,0,NA,excluded
33,T2,38,2,5,62,1,presch,5,3,2,2,5,2,6,5,15,2,5,1,2.107142857,2,0.107142857,NA,adopted
34,T2,29,2,2,25,2,inf,5,1,3,9,2,8,8,1,27,NA,7,2,3,2,0,NA,excluded
35,T2,47,1,9,112,2,sch,4,2,4,0,2,0,2,6,4,2,3,2,0.785714286,0.214285714,1,NA,excluded
40,T2,33,2,1,14,1,inf,3,1,4,0,3,0,3,2,6,NA,6,2,0.107142857,0.5,0,NA,excluded
42,T2,28,2,0,9,1,inf,3,1,3,2,4,0,5,1,11,NA,6,4,0.642857143,1,0,NA,excluded
43,T2,36,2,7,91,2,sch,6,1,3,3,5,1,2,5,11,2,4,4,5.178571428,0.035714286,0,NA,adopted
44,T2,46,2,4,56,2,presch,3,1,3,1,3,4,0,10,8,2,7,5,1.857142857,1,0.214285714,NA,adopted
45,T2,43,2,7,94,2,sch,5,3,4,0,3,0,1,4,4,2,7,4,2.071428572,0.428571429,0,NA,adopted
46,T2,30,2,2,24,2,inf,4,1,4,2,5,0,0,10,7,NA,7,5,1.071428572,1,2,NA,excluded
50,T2,42,2,4,59,2,presch,5,3,2,1,0,0,0,7,1,2,3,3,1.785714285,1,0.214285714,NA,excluded
51,T2,39,2,5,65,2,presch,2,1,4,2,0,3,4,10,9,2,6,5,0.321428572,0,0,NA,adopted
56,T2,41,2,9,109,1,sch,4,2,3,1,4,0,2,5,7,2,1,1,5,0,0,NA,excluded
57,T2,38,2,6,83,1,sch,3,1,3,2,7,0,2,5,11,0,1,1,7.357142857,0.035714286,0.5,NA,excluded
58,T2,30,2,1,20,1,inf,3,1,3,2,5,0,4,0,11,NA,7,2,2.607142857,0.5,0.035714286,NA,excluded
59,T2,44,2,9,118,1,sch,4,3,3,2,3,1,1,6,7,2,5,4,3.321428572,0.5,0.035714286,NA,excluded
60,T2,43,2,7,89,1,sch,4,3,1,4,9,5,5,3,23,2,1,1,3.357142857,0.214285714,0.107142857,NA,adopted
61,T2,36,2,1,19,2,inf,4,2,4,2,4,0,4,4,10,2,5,4,0.25,0.107142857,0,NA,excluded
62,T2,27,2,3,37,1,inf,3,1,3,3,8,3,3,4,17,2,3,4,2.071428571,0.214285714,0,NA,excluded
64,T2,26,2,0,6,1,inf,4,2,3,2,4,0,3,2,9,NA,6,3,6.5,0.5,0,NA,excluded
65,T2,46,2,4,53,1,presch,4,1,2,2,4,3,6,4,15,2,7,1,4.321428572,0.5,0.107142857,NA,excluded
66,T2,47,2,5,67,1,presch,3,1,4,0,3,2,1,8,6,2,3,3,2.214285714,0.214285714,0.214285714,NA,adopted
67,T2,40,2,5,71,2,presch,3,1,3,0,0,1,1,10,2,2,5,5,2.142857143,0.5,0.214285714,NA,adopted
68,T2,36,2,5,65,2,presch,3,1,4,2,4,5,4,4,15,2,5,1,2.035714286,0.25,0.107142857,NA,excluded
69,T2,38,2,7,90,1,sch,3,1,3,6,7,4,7,1,24,2,2,1,2.678571429,0.035714286,0.214285714,NA,adopted
70,T2,38,2,2,34,2,inf,4,2,3,0,5,0,0,3,5,NA,7,6,1.107142857,2,0,NA,excluded
72,T2,39,2,6,82,1,sch,5,3,4,1,2,0,2,7,5,2,6,4,7.25,0.214285714,0.214285714,NA,excluded
73,T2,30,2,0,0,1,inf,5,3,4,0,3,3,2,5,8,NA,7,1,0,0,0,NA,excluded
75,T2,32,2,4,55,1,presch,4,1,3,3,9,3,2,9,17,2,7,5,6.535714286,1,0,NA,adopted
76,T2,42,2,9,111,1,sch,4,2,4,2,4,4,4,1,14,0,4,2,2.142857143,0.035714286,0.107142857,NA,excluded
78,T2,32,2,4,58,2,presch,3,1,4,1,1,0,4,6,6,1,6,4,1.25,0.5,0.214285714,NA,adopted
80,T2,52,1,7,92,1,sch,5,3,4,1,5,2,1,7,9,2,7,3,1.25,0.25,0.214285714,NA,excluded
81,T2,43,2,4,54,1,presch,4,2,3,0,2,0,3,8,5,2,5,2,2.607142857,0.035714286,0,NA,adopted
84,T2,38,2,8,98,2,sch,4,2,1,2,6,0,2,4,10,2,6,4,4.857142857,0.428571429,0.428571429,NA,adopted
85,T2,37,2,2,27,1,inf,4,1,2,3,4,4,2,5,13,2,4,3,0.357142857,2,0,NA,excluded
86,T2,38,2,7,93,1,sch,5,1,4,0,1,0,2,10,3,2,2,2,2.214285714,1,0.214285714,NA,adopted
89,T2,46,2,3,43,1,inf,3,1,3,1,2,0,0,5,3,2,7,4,1.178571429,0.5,0,NA,excluded
91,T2,45,2,6,81,2,sch,5,3,5,2,2,1,3,3,8,2,2,1,1.5,0.5,0.214285714,NA,excluded
92,T2,27,2,7,90,2,sch,2,1,2,5,5,5,4,5,19,3,5,5,2.714285715,0.5,0.214285714,NA,excluded
99,T2,44,2,5,62,2,presch,3,1,3,4,5,3,1,3,13,2,3,2,1.035714286,0.071428571,0.214285714,NA,excluded
101,T2,38,2,1,22,1,inf,3,1,4,3,6,1,2,0,12,NA,2,1,3,1,0,NA,excluded
102,T2,42,1,9,113,2,sch,7,2,3,0,1,4,1,10,6,2,4,3,4.25,0.107142857,0.5,NA,excluded
104,T2,39,2,6,82,1,sch,4,2,2,0,0,1,0,10,1,2,5,5,0.535714286,0.428571429,0.214285714,NA,excluded
105,T2,35,2,3,47,1,inf,3,1,2,3,7,2,5,5,17,NA,1,1,2.714285714,0.071428571,0.035714286,NA,excluded
106,T2,40,2,8,98,1,sch,4,2,3,2,1,3,2,6,8,2,7,6,6.071428571,0.214285714,4,NA,excluded
107,T2,40,2,5,68,2,presch,4,2,3,5,6,1,3,5,15,2,6,3,0.857142857,0.035714286,0.107142857,NA,excluded
110,T2,31,2,3,47,2,inf,5,3,4,0,2,0,1,6,3,2,5,4,1.214285714,1,0.214285714,NA,excluded
115,T2,29,2,0,6,1,inf,3,1,4,2,4,0,5,0,11,NA,6,1,1,0.035714286,0,NA,excluded
116,T2,49,2,9,116,2,sch,5,2,2,1,3,2,0,4,6,2,6,5,2.892857143,1,0.5,NA,excluded
118,T2,38,2,8,101,2,sch,4,2,4,1,5,3,3,3,12,2,2,2,1.607142857,0.5,0.214285714,NA,adopted
119,T2,36,2,7,95,2,sch,5,3,3,2,2,2,2,6,8,2,5,4,3.142857143,2,0.214285714,NA,excluded
120,T2,47,2,7,95,2,sch,5,3,2,0,5,0,1,5,6,1,4,1,2.535714286,0.5,0.428571429,NA,adopted
122,T2,29,2,0,6,1,inf,4,2,3,2,5,0,4,0,11,NA,7,1,1.107142857,0.107142857,0.107142857,NA,excluded
124,T2,30,2,1,18,2,inf,3,1,4,7,5,4,5,6,21,2,4,1,0.75,0.5,0,NA,excluded
126,T2,48,2,6,78,1,sch,3,1,4,3,4,0,3,5,10,2,5,3,2.142857143,0,0,NA,adopted
127,T2,32,2,5,71,1,presch,3,1,3,2,4,1,2,5,9,4,1,1,7.5,0.107142857,0,NA,adopted
128,T2,29,2,3,44,2,inf,4,2,2,1,7,5,2,4,15,2,5,2,6.142857143,0.035714286,0,NA,excluded
130,T2,35,2,8,105,1,sch,5,3,3,4,9,5,2,6,20,2,5,2,8.071428572,0.107142857,0.214285714,NA,excluded
132,T2,48,2,9,119,1,sch,4,2,3,2,1,1,0,10,4,2,4,5,5.25,0.428571429,0.5,NA,excluded
133,T2,38,2,8,98,1,sch,4,2,4,1,6,0,2,3,9,2,5,3,0.714285714,0.214285714,0.5,NA,adopted
135,T2,33,2,7,86,2,sch,6,2,3,2,5,0,3,7,10,2,4,3,3.178571429,0.035714286,0.107142857,NA,adopted
136,T2,39,2,5,62,1,presch,4,2,4,4,8,7,3,5,22,2,6,3,2.964285714,1,0.107142857,NA,excluded
137,T2,39,2,2,28,1,inf,3,1,3,1,1,3,3,6,8,1,7,6,1.678571429,1,0,NA,excluded
138,T2,29,2,6,79,2,sch,5,1,3,2,4,5,0,6,11,2,5,4,1.107142857,0.5,0.035714286,NA,excluded
139,T2,41,2,5,66,1,presch,5,3,4,5,6,5,4,5,20,2,7,5,5.571428572,1,0,NA,adopted
140,T2,33,2,2,29,2,inf,3,1,3,2,4,0,3,0,9,NA,6,2,6.107142857,0.107142857,0,NA,excluded
141,T2,48,2,7,85,1,sch,5,3,2,2,2,0,3,4,7,2,3,4,1.142857143,1,0.214285714,NA,excluded
142,T2,42,2,8,103,1,sch,6,3,2,6,8,0,0,5,14,2,6,5,6.25,1,0,NA,adopted
143,T2,37,2,2,28,1,inf,4,2,4,2,4,0,1,3,7,NA,7,3,1.5,2,0,NA,excluded
144,T2,42,2,1,21,1,inf,4,2,4,3,8,1,4,4,16,2,5,2,0.607142857,0.107142857,0,NA,excluded
145,T2,35,2,1,23,1,inf,3,1,4,2,4,0,3,0,9,NA,2,1,2.25,1,0,NA,excluded
146,T2,47,2,9,110,2,sch,4,2,2,2,1,2,1,7,6,2,4,2,3.071428572,0.107142857,0,NA,excluded
147,T2,38,2,2,35,1,inf,6,2,3,4,6,4,5,5,19,2,5,4,1,2,0.035714286,NA,excluded
148,T2,47,2,9,109,2,sch,5,4,1,2,5,3,2,8,12,2,7,2,9.071428572,1,0,NA,excluded
149,T2,38,2,8,107,2,sch,4,2,4,2,5,1,2,5,10,2,3,2,2.321428571,0.035714286,0.214285714,NA,excluded
150,T2,34,2,7,93,1,sch,3,1,3,2,6,7,2,4,17,2,4,4,3.107142857,0.5,0,NA,excluded
154,T2,39,2,1,23,1,inf,3,1,2,5,6,5,6,3,22,NA,6,1,3.5,2,0.107142857,NA,excluded
156,T2,33,2,1,17,1,inf,3,1,3,3,3,1,5,0,12,NA,6,1,8,0.214285714,0,NA,excluded
158,T2,34,1,1,13,1,inf,4,2,4,2,4,0,3,0,9,2,6,6,1,2,0,NA,excluded
161,T2,37,2,9,116,2,sch,6,2,2,1,7,10,5,8,23,2,7,3,1.607142857,0.428571429,0,NA,excluded
162,T2,40,2,2,26,2,inf,4,2,4,2,3,0,2,4,7,2,3,3,0.214285714,1,0,NA,excluded
165,T2,34,2,1,14,1,inf,7,5,2,1,3,0,3,1,7,NA,7,1,0.035714286,0.214285714,0,NA,excluded
166,T2,31,2,3,42,1,inf,3,1,3,4,6,4,3,3,17,2,2,2,2.035714286,1,0,NA,excluded
167,T2,41,1,7,94,1,sch,3,2,5,5,5,4,7,5,21,2,3,2,2.892857143,0.071428571,0.214285714,NA,adopted
168,T2,40,2,7,91,2,sch,5,3,3,1,4,3,3,7,11,2,3,2,7.035714286,0.071428571,0,NA,adopted
170,T2,33,2,5,64,1,presch,4,3,4,1,1,3,0,10,5,2,7,4,2.535714286,1,0.25,NA,excluded
172,T2,32,2,3,46,2,inf,5,3,2,1,2,0,0,8,3,2,5,4,1.642857143,1,0,NA,excluded
173,T2,44,2,8,101,2,sch,3,1,3,3,4,1,0,6,8,2,4,3,1.571428571,0.214285714,0.214285714,NA,adopted
176,T2,36,2,0,3,2,inf,4,2,3,2,2,0,4,5,8,NA,4,2,0.071428571,0.035714286,0,NA,excluded
177,T2,35,2,7,85,2,sch,4,2,4,4,5,5,5,5,19,2,2,2,2.5,0.25,0.25,NA,adopted
178,T2,35,2,2,28,2,inf,4,2,3,1,3,1,2,5,7,2,5,3,3.035714286,0.25,0,NA,excluded
179,T2,37,2,7,91,2,sch,4,2,4,2,2,0,0,7,4,2,7,7,1.678571429,1.5,0.214285714,NA,adopted
180,T2,36,2,4,57,1,presch,4,2,5,4,4,1,1,6,10,2,1,1,1.357142857,0.25,0,NA,excluded
181,T2,46,2,4,53,1,presch,4,2,3,1,5,2,1,4,9,2,7,4,3.035714286,0.5,0,NA,excluded
182,T2,44,2,6,73,1,sch,4,2,2,3,4,0,0,10,7,5,4,2,4.25,0.5,0.214285714,NA,excluded
183,T2,36,1,4,48,2,presch,5,3,3,6,9,4,3,6,22,2,4,2,3.214285714,0.071428571,0.214285714,NA,excluded
184,T2,40,2,5,62,1,presch,4,2,3,1,3,0,2,6,6,2,3,2,9.035714286,2,0.214285714,NA,excluded
187,T2,40,2,4,48,1,presch,3,1,3,3,3,0,4,4,10,2,5,2,2.142857143,2,0,NA,adopted
189,T2,48,1,6,73,1,sch,5,3,4,0,3,4,1,7,8,2,6,6,5.035714286,1,0.214285714,NA,adopted
190,T2,45,2,7,93,2,sch,4,2,4,4,0,2,1,5,7,2,4,3,3.035714286,0.428571429,0,NA,adopted
191,T2,38,2,3,39,1,inf,3,1,4,4,5,1,3,3,13,2,5,3,1.107142857,2,0,NA,excluded
192,T2,38,2,5,64,1,presch,4,2,4,2,1,0,5,0,8,2,2,1,2.071428571,0.5,0.214285714,NA,adopted
193,T2,31,2,3,47,1,inf,3,1,4,1,4,0,2,3,7,2,6,3,1.642857143,0.5,0,NA,excluded
